,title,originallink,link,description,pubDate,bloggername,bloggerlink,postdate
80,"‘코로나 직격타’ 맞은 <b>조폐공사</b>, 비상경영 선언…“142억원 적자”",https://www.tfmedia.co.kr/news/article.html?no=101239,https://www.tfmedia.co.kr/news/article.html?no=101239,반장식 사장 “강도높은 경영혁신…위기를 기회로 만들어야” <b>한국조폐공사</b>가 지난해 100억원대 영업적자를 보면서 결국 비상 경영 체제를 선언했다. 8일 반장식 <b>조폐공사</b> 사장은 대전 본사에서 개최된 연 위기극복... ,"Mon, 08 Mar 2021 15:29:00 +0900",,,
81,"<b>한국조폐공사</b>,비상경영체제 돌입...",http://www.breaknews.com/790639,http://www.breaknews.com/790639,▲ <b>한국조폐공사</b> ©김정환 기자 <b>한국조폐공사</b>가 비상경영 체제에 돌입했다고 밝혔다. 반장식 사장은 8일 대전 본사에서 경영전략회의를 열고 코로나19 장기화에... ,"Tue, 09 Mar 2021 07:25:00 +0900",,,
82,"<b>조폐공사</b>, 정부'혁신·협업·시민참여 우수과제 평가'서 혁신부문 '우수' 획득",http://www.ccnnews.co.kr/news/articleView.html?idxno=211285,http://www.ccnnews.co.kr/news/articleView.html?idxno=211285,"<b>한국조폐공사</b>(사장 반장식, www.komsco.com)는 기획재정부 주관 '2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가'에서 혁신 부문 우수과제로 선정됐다고 9일 밝혔다. 발달장애인 디자이너가 참여한 '카드형 십이지... ","Tue, 09 Mar 2021 11:20:00 +0900",,,
83,"<b>조폐공사</b>,‘<b>한국</b>의 국립공원 기념주화’ 공개추첨",https://www.news1.kr/articles/?4228897,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005199222,"<b>한국조폐공사</b>가 3일 대전 본사에서 ‘2021 <b>한국</b>의 국립공원(소백산, 태백산, 다도해해상, 주왕산) 기념주화’ 공개 추첨 행사를 가졌다. 이날 공개 추첨은 지난달 2일부터 23일까지 NH농협은행과 우리은행 전국 지점 및... ","Wed, 03 Mar 2021 13:27:00 +0900",,,
84,"<b>조폐공사</b>, 정부 ‘우수과제 평가’서 혁신부문 ‘우수’ 획득",http://www.thepublic.kr/news/newsview.php?ncode=1065576962795946,http://www.thepublic.kr/news/newsview.php?ncode=1065576962795946,<b>한국조폐공사</b>는 기획재정부 주관 ‘2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가’에서 혁신 부문 우수과제로 선정됐다고 9일 밝혔다. 선정된 과제는 ‘발달장애 디자이너와 함께 하는 신규 사업으로... ,"Tue, 09 Mar 2021 11:46:00 +0900",,,
85,"<b>조폐공사</b>, 비상경영체제 선언",http://www.newstnt.com/news/articleView.html?idxno=73323,http://www.newstnt.com/news/articleView.html?idxno=73323,<b>한국조폐공사</b>는 8일 본사에서 경영전략회의를 열고 창립 70주년을 맞아 비상경영을 선언했다. <b>한국조폐공사</b>가 비상경영 체제에 돌입했다. 반장식 사장은 8일 대전 본사에서 경영전략회의를 열고 창립 70주년을 맞아... ,"Mon, 08 Mar 2021 17:00:00 +0900",,,
86,"반장식 <b>조폐공사</b> 사장, '비상경영' 카드 통할까",http://www.sisaweek.com/news/articleView.html?idxno=142347,http://www.sisaweek.com/news/articleView.html?idxno=142347,반장식 <b>한국조폐공사</b> 사장이 취임 한 달여 만에 '비상경영'을 선언해 주목을 끌고 있다. /<b>한국조폐공사</b> 시사위크=이미정 기자  반장식 <b>한국조폐공사</b> 사장이 취임 한 달여 만에 '비상경영 카드'를 꺼내들었다. 지난해... ,"Wed, 10 Mar 2021 17:12:00 +0900",,,
87,"<b>조폐공사</b>,‘<b>한국</b>의 국립공원 기념주화’공개추첨",http://www.fnnews.com/news/202103031308349135,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004594070,<b>한국조폐공사</b>는 3일 대전 본사에서 ‘2021 <b>한국</b>의 국립공원(소백산·태백산·다도해해상·주왕산) 기념주화’ 공개 추첨 행사를 가졌다. 이날 공개 추첨은 지난달 2~23일까지 NH농협은행과 우리은행 전국 지점 및 인터넷... ,"Wed, 03 Mar 2021 15:25:00 +0900",,,
88,<b>한국조폐공사</b> '발달장애인 디자이너 아트메달 사업' 우수성 인정,https://www.eroun.net/news/articleView.html?idxno=23479,https://www.eroun.net/news/articleView.html?idxno=23479,조폐공사는 발달장애인의 작품을 아트메달 디자인에 적용해 장애인의 사회적자립과 일자리를 지원했다./제공=<b>한국조폐공사 한국조폐공사</b>(사장 반장식)가 기획재정부 주관 '2020년도 공공기관 혁신·협업·시민참여 우수... ,"Thu, 11 Mar 2021 10:55:00 +0900",,,
89,"<b>조폐공사</b>, ‘<b>한국</b>의 국립공원 기념주화’ 공개추첨  ",http://www.busan.com/view/busan/view.php?code=2021030314271332061,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=082&aid=0001071890,"<b>한국조폐공사</b>는 3일 대전 본사에서 ‘2021 <b>한국</b>의 국립공원 기념주화’ 공개 추첨 행사를 가졌다. 오른쪽부터 <b>조폐공사</b> 류병옥 사업처장, 강병욱 사업이사, <b>한국</b>은행 이정욱 발권국장, 이태검 발권과장.... ","Wed, 03 Mar 2021 14:53:00 +0900",,,
90,"<b>한국조폐공사</b>, 정부 주관 '혁신·협업·시민참여 우수과제 평가'서 혁신부문 ...",http://www.iminju.net/news/articleView.html?idxno=70826,http://www.iminju.net/news/articleView.html?idxno=70826,발달장애인 디자이너가 참여한 '카드형 십이지 메달' 앞·뒷면(왼쪽부터) ⓒ <b>한국조폐공사 한국조폐공사</b>는 기획재정부 주관 '2020년도 공공기관 혁신·협업·시민참여 우수 과제 평가'에서 혁신부문 우수과제로... ,"Tue, 09 Mar 2021 10:34:00 +0900",,,
