,Unnamed: 0,Keyword,Count_news,Count_blog,Count_kin,Count_total
165,165,주화,25.0,47.0,11.0,83.0
166,166,공개,24.0,5.0,0.0,29.0
167,167,공개추첨,9.0,0.0,0.0,9.0
168,168,추첨,24.0,0.0,0.0,24.0
169,169,카드,6.0,31.0,2.0,39.0
170,170,기념주화공개추첨,3.0,0.0,0.0,3.0
171,171,발달,19.0,3.0,0.0,22.0
172,172,발달장애인,8.0,3.0,0.0,11.0
173,173,장애인,8.0,4.0,0.0,12.0
174,174,디자이너,16.0,1.0,0.0,17.0
175,175,아트,4.0,4.0,0.0,8.0
176,176,아트메달,4.0,0.0,0.0,4.0
177,177,우수성,3.0,0.0,0.0,3.0
178,178,인정,3.0,0.0,2.0,5.0
179,179,추첨발행량,3.0,0.0,0.0,3.0
180,180,발행,5.0,9.0,15.0,29.0
181,181,량,5.0,0.0,1.0,6.0
182,182,초과,4.0,0.0,0.0,4.0
183,183,예약,5.0,5.0,0.0,10.0
184,184,예약접수,3.0,0.0,0.0,3.0
185,185,접수,5.0,6.0,6.0,17.0
186,186,여권사업,4.0,0.0,0.0,4.0
187,187,부진,4.0,0.0,0.0,4.0
188,188,1,14.0,31.0,14.0,59.0
189,189,1년새,3.0,0.0,0.0,3.0
190,190,년,15.0,60.0,21.0,96.0
191,191,적자전환체질개선,3.0,0.0,0.0,3.0
192,192,체질,3.0,0.0,0.0,3.0
193,193,개선,3.0,0.0,0.0,3.0
194,194,조폐공사행안부,3.0,0.0,0.0,3.0
195,195,행,3.0,1.0,1.0,5.0
196,196,안부,3.0,0.0,0.0,3.0
197,197,모바일,5.0,0.0,0.0,5.0
198,198,운전,4.0,0.0,0.0,4.0
199,199,운전면허증구축협약,3.0,0.0,0.0,3.0
200,200,면허증,4.0,0.0,0.0,4.0
201,201,구축,4.0,0.0,1.0,5.0
202,202,협약,4.0,5.0,0.0,9.0
203,203,데,8.0,0.0,8.0,16.0
204,204,데믹,3.0,0.0,0.0,3.0
205,205,믹,3.0,0.0,0.0,3.0
206,206,유탄,4.0,0.0,0.0,4.0
207,207,조폐공사만년,3.0,0.0,0.0,3.0
208,208,만년,4.0,0.0,0.0,4.0
209,209,흑자,5.0,0.0,0.0,5.0
210,210,공기업,4.0,17.0,13.0,34.0
211,211,선언미래성장,3.0,0.0,0.0,3.0
212,212,등,23.0,16.0,2.0,41.0
213,213,6개,4.0,0.0,0.0,4.0
214,214,2020년,5.0,25.0,4.0,34.0
215,215,1월,10.0,2.0,1.0,13.0
216,216,월,10.0,19.0,4.0,33.0
217,217,육안,10.0,0.0,0.0,10.0
218,218,여부,11.0,1.0,0.0,12.0
219,219,확인,11.0,1.0,6.0,18.0
220,220,수,11.0,17.0,21.0,49.0
221,221,국민,8.0,12.0,1.0,21.0
