word	score
이행행위	1.3404680416369958e-06
핵심원리	1.2517989493886343e-06
디바이스	1.268802620908447e-06
닥터미즈	5.95763574060887e-06
구름다리	6.758662394808381e-07
근현대사	8.071056949143979e-08
콤플렉스	8.071056949143979e-08
공산주의	8.071056949143979e-08
내선일체	8.071056949143979e-08
사상통제	1.210658542371597e-07
핵발전소	3.2694342478951116e-06
내진설계	3.2694342478951116e-06
슈퍼노트	3.212533965692087e-06
상임이사	7.516643224132686e-07
국민의당	3.5182809107393054e-06
평생교육	7.857576309612518e-06
엠코르셋	4.468226805456652e-06
특별검사	2.019641579311839e-06
검찰총장	6.106080114659766e-07
신한은행	2.9595911429826817e-06
법정통화	8.775832044125609e-07
황우슬혜	1.2925941830071033e-05
노동조합	3.963861603583136e-07
다롄역사	6.134865179116685e-07
함흥냉면	4.548631915066412e-06
트와이스	5.849315090779618e-06
문화유산	6.89293991712766e-07
광주fc	8.728629108333926e-06
롯데주류	6.186775576786136e-06
구속기소	9.729275538334444e-07
조직문화	2.6791499832851346e-07
정읍지회	3.3511701040924894e-06
개인정보	1.4660036849325763e-06
고등학교	8.88873474064561e-07
부장검사	1.3051678448461417e-06
하나카드	6.300692197853758e-06
군위군수	8.777962619178145e-07
드라이버	2.9714698435022954e-06
펀드투자	4.034853637034436e-07
업무강도	3.2149799799421615e-07
결식우려	2.1737319594113446e-06
현대건축	2.453946071646675e-07
금융거래	2.203509109540267e-06
축하공연	1.6284026482243248e-06
테마공원	1.2394947674801126e-06
등기우편	2.636986311417041e-06
인공지능	4.787385862989271e-06
머신비전	2.8724315177935624e-06
업무환경	1.6074899899710807e-07
자문위원	3.5047902632745008e-06
우수제품	1.9149543451957084e-06
요시찰인	1.210658542371597e-07
성숙시장	7.78964479401644e-07
정기예금	1.961660548737067e-06
동경제대	2.453946071646675e-07
지역사회	3.2792109888856144e-06
국제극장	4.90789214329335e-07
사업부문	1.8560326730358404e-06
모집부문	5.161160374217311e-06
현상설계	3.6809191074700116e-07
취약계층	2.1298997615857974e-06
고객선호	7.212025985095123e-07
페이스북	2.255900768139199e-06
골드뱅킹	1.619357365735968e-06
민간단체	2.211081305792983e-07
sk건설	3.7235223378805437e-06
쇼케이스	4.386986318084714e-06
모스크바	6.352180748271671e-07
학생식당	3.1789755928150095e-06
운동교실	4.468226805456652e-06
랩온어칩	1.2517989493886343e-06
전라남도	2.0733003428206677e-06
고층건물	3.0160530936832407e-06
군산공장	3.093387788393068e-06
마찬가지	6.869619646145704e-07
민주주의	4.107009651139596e-07
디자이너	1.4913629440050122e-06
생활화	1.401926141403559e-06
활성화	6.3584680647336775e-06
칼퇴근	3.2149799799421615e-07
김주한	1.386691077555513e-06
회의적	1.271981299878555e-07
도시락	1.0868659797056724e-05
사람들	3.183695870613121e-06
대통령	1.1241693249495988e-05
가능성	4.341410657653107e-06
판매량	4.768822507835018e-06
직원들	4.992417415761738e-06
검사장	1.218161929701476e-05
검사들	1.040834008800491e-06
필요성	1.2133215907723194e-06
고객들	3.4349308359019678e-06
학생들	8.154641769969382e-06
특검법	2.7200850115853493e-06
국정원	4.376980876053879e-06
간부들	1.0438365447713068e-06
대사관	4.031852913426864e-06
이천승	1.4723676429880047e-06
임직원	6.544683466700631e-06
어려움	2.208105044189017e-06
기술력	3.1043715516906606e-06
이사장	3.0291063154639327e-06
임수정	5.2567374181842974e-06
관광객	7.388987728479689e-06
고려인	1.7872907221826612e-06
경쟁력	3.0054037724433343e-06
일본인	1.4373329627016526e-06
구성원	1.529261177671908e-06
사용량	1.629306504987789e-06
김윤식	2.351768559508663e-07
신분증	7.648310414430314e-06
제조량	8.936453610913306e-07
직장인	4.778675323743326e-06
접근성	1.203735733571846e-06
금시장	1.191527148121774e-06
국민들	2.141566696798341e-06
안정성	2.390538220402582e-06
정치권	1.0856726230880374e-06
수십명	5.01891310441309e-07
특검팀	1.5626107952539241e-06
실무진	2.54396259975711e-07
조사관	3.5947487751836763e-07
개개인	1.7609424380869962e-07
뒷받침	2.037263089096859e-07
사무실	4.607680039003571e-06
올림픽	1.6238580575682954e-05
금메달	1.571294467208399e-05
기관장	2.9490512034048737e-06
은메달	6.943457325442685e-06
1억원	9.148631259369627e-07
여행객	2.9877154165661837e-06
유관순	8.507715090547644e-07
장애인	1.6958710570679732e-05
신청인	3.496281363390892e-06
김진형	8.936453610913306e-07
민원인	3.631878416963917e-06
애장품	1.431953991066227e-06
기업들	1.7612299367001269e-06
서현진	5.026755156138734e-06
공포감	7.71492398064458e-07
희소성	1.1198086945496698e-06
피란민	1.6472231942244514e-06
카니발	6.655629449135636e-06
1시간	1.910368264274531e-06
가족들	6.343069164317897e-07
준설선	9.414658486413682e-07
보험금	6.724756061724059e-07
수아랩	6.702340208184979e-06
고검장	1.4172268603294746e-06
